"","phase","ext_gene"
"ENSG00000010292","G2/M","NCAPD2"
"ENSG00000011426","G2/M","ANLN"
"ENSG00000013810","G2/M","TACC3"
"ENSG00000072571","G2/M","HMMR"
"ENSG00000075218","G2/M","GTSE1"
"ENSG00000080986","G2/M","NDC80"
"ENSG00000087586","G2/M","AURKA"
"ENSG00000088325","G2/M","TPX2"
"ENSG00000089685","G2/M","BIRC5"
"ENSG00000092140","G2/M","G2E3"
"ENSG00000094916","G2/M","CBX5"
"ENSG00000100401","G2/M","RANGAP1"
"ENSG00000102974","G2/M","CTCF"
"ENSG00000111665","G2/M","CDCA3"
"ENSG00000112742","G2/M","TTK"
"ENSG00000113810","G2/M","SMC4"
"ENSG00000114346","G2/M","ECT2"
"ENSG00000115163","G2/M","CENPA"
"ENSG00000117399","G2/M","CDC20"
"ENSG00000117650","G2/M","NEK2"
"ENSG00000117724","G2/M","CENPF"
"ENSG00000120802","G2/M","TMPO"
"ENSG00000123485","G2/M","HJURP"
"ENSG00000123975","G2/M","CKS2"
"ENSG00000126787","G2/M","DLGAP5"
"ENSG00000129195","G2/M","PIMREG"
"ENSG00000131747","G2/M","TOP2A"
"ENSG00000134222","G2/M","PSRC1"
"ENSG00000134690","G2/M","CDCA8"
"ENSG00000136108","G2/M","CKAP2"
"ENSG00000137804","G2/M","NUSAP1"
"ENSG00000137807","G2/M","KIF23"
"ENSG00000138160","G2/M","KIF11"
"ENSG00000138182","G2/M","KIF20B"
"ENSG00000138778","G2/M","CENPE"
"ENSG00000139354","G2/M","GAS2L3"
"ENSG00000142945","G2/M","KIF2C"
"ENSG00000143228","G2/M","NUF2"
"ENSG00000143401","G2/M","ANP32E"
"ENSG00000143815","G2/M","LBR"
"ENSG00000148773","G2/M","MKI67"
"ENSG00000157456","G2/M","CCNB2"
"ENSG00000158402","G2/M","CDC25C"
"ENSG00000164104","G2/M","HMGB2"
"ENSG00000169607","G2/M","CKAP2L"
"ENSG00000169679","G2/M","BUB1"
"ENSG00000170312","G2/M","CDK1"
"ENSG00000173207","G2/M","CKS1B"
"ENSG00000175063","G2/M","UBE2C"
"ENSG00000175216","G2/M","CKAP5"
"ENSG00000178999","G2/M","AURKB"
"ENSG00000184661","G2/M","CDCA2"
"ENSG00000188229","G2/M","TUBB4B"
"ENSG00000189159","G2/M","JPT1"
"ENSG00000012963","S","UBR7"
"ENSG00000049541","S","RFC2"
"ENSG00000051180","S","RAD51"
"ENSG00000073111","S","MCM2"
"ENSG00000075131","S","TIPIN"
"ENSG00000076003","S","MCM6"
"ENSG00000076248","S","UNG"
"ENSG00000077514","S","POLD3"
"ENSG00000092470","S","WDR76"
"ENSG00000092853","S","CLSPN"
"ENSG00000093009","S","CDC45"
"ENSG00000094804","S","CDC6"
"ENSG00000095002","S","MSH2"
"ENSG00000100297","S","MCM5"
"ENSG00000101868","S","POLA1"
"ENSG00000104738","S","MCM4"
"ENSG00000111247","S","RAD51AP1"
"ENSG00000112312","S","GMNN"
"ENSG00000117748","S","RPA2"
"ENSG00000118412","S","CASP8AP2"
"ENSG00000119969","S","HELLS"
"ENSG00000129173","S","E2F8"
"ENSG00000131153","S","GINS2"
"ENSG00000132646","S","PCNA"
"ENSG00000132780","S","NASP"
"ENSG00000136492","S","BRIP1"
"ENSG00000136982","S","DSCC1"
"ENSG00000143476","S","DTL"
"ENSG00000144354","S","CDCA7"
"ENSG00000151725","S","CENPU"
"ENSG00000156802","S","ATAD2"
"ENSG00000159259","S","CHAF1B"
"ENSG00000162607","S","USP1"
"ENSG00000163950","S","SLBP"
"ENSG00000167325","S","RRM1"
"ENSG00000168496","S","FEN1"
"ENSG00000171848","S","RRM2"
"ENSG00000174371","S","EXO1"
"ENSG00000175305","S","CCNE2"
"ENSG00000176890","S","TYMS"
"ENSG00000197299","S","BLM"
"ENSG00000198056","S","PRIM1"
"ENSG00000276043","S","UHRF1"
